task,n_classes,n_train_total,n_test_total,baseline_logreg_f1,baseline_logreg_acc,baseline_svm_f1,baseline_svm_acc,slm_f1,slm_acc,slm_macro_precision,slm_train_samples,slm_test_samples,slm_epochs,slm_train_time_sec,delta_vs_logreg_f1,delta_vs_svm_f1
emoji,20,80000,10000,0.312232220740844,0.4077,0.29886634114314975,0.3893,0.213889772968859,0.215,0.21781380129140335,1500,600,3,520.0,-0.098342447771985,-0.08497656817429075
emotion,4,4041,506,0.6740192581493432,0.7233201581027668,0.6679240999893175,0.717391304347826,0.7594938001328845,0.7865612648221344,0.746282185741275,1481,506,3,602.4,0.08547454198354132,0.09156970014356702
hate,2,10368,1296,0.7497354700409542,0.7554012345679012,0.7460858306216672,0.7515432098765432,0.7515831710102563,0.7516666666666667,0.7520054740261908,1500,600,3,1500.3,0.0018477009693020907,0.005497340388589067
irony,2,3680,461,0.6478592983779705,0.648590021691974,0.639164466239155,0.6399132321041214,0.7179393049437102,0.7180043383947939,0.7181335642222557,1500,461,3,612.1,0.07008000656573965,0.07877483870455515
offensive,2,11280,1410,0.7131045568080636,0.7453900709219858,0.70029251013357,0.7354609929078014,0.5263680578543963,0.535,0.5377521302987811,1500,600,3,833.0,-0.18673649895366728,-0.17392445227917364
sentiment,3,47919,5990,0.6758840996477748,0.6854757929883138,0.6543341082678269,0.6674457429048414,0.7213167790592635,0.7183333333333334,0.7329537612146307,1500,600,3,896.6,0.04543267941148865,0.0669826707914366
stance_abortion,3,746,94,0.6670676289762095,0.7127659574468085,0.6015771184175355,0.6595744680851063,0.7343163587364462,0.7659574468085106,0.7605343047965999,746,94,4,418.4,0.06724872976023666,0.1327392403189107
stance_atheism,3,586,74,0.6472031488417257,0.7027027027027027,0.6592948717948718,0.7162162162162162,0.768252603903327,0.7972972972972973,0.7468914395026304,586,74,4,348.8,0.12104945506160125,0.10895773210845516
stance_climate,3,451,57,0.47429291194320394,0.7192982456140351,0.4851851851851852,0.7368421052631579,0.6055555555555555,0.8947368421052632,0.6052631578947368,451,57,4,247.0,0.13126264361235157,0.1203703703703703
stance_feminist,3,759,95,0.5482311389033641,0.5789473684210527,0.5646100324318146,0.6,0.719485099629695,0.7578947368421053,0.7431318681318682,759,95,4,422.7,0.17125396072633092,0.15487506719788036
stance_hillary,3,787,99,0.5454673892202275,0.5858585858585859,0.5211670050379728,0.5959595959595959,0.6718063163589639,0.6868686868686869,0.6793272864701437,787,99,4,440.1,0.1263389271387364,0.15063931132099118
